Site,NomSite,Distance,Arbre,Poids,Surface,Largeur,Longueur,CircArbre,dispersion,log_disp
4,Gornies,6.3,1,11,0.73816,0.427,2.31502,18.5,0.06710545454545455,-2.7014899485102073
4,Gornies,6.3,1,15,0.69958,0.489,2.15873,18.5,0.04663866666666667,-3.065325325112975
4,Gornies,6.3,1,14.6,0.75847,0.444,2.27595,18.5,0.05195,-2.9574735614369008
4,Gornies,6.3,1,13.8,0.77878,0.474,2.25641,18.5,0.056433333333333335,-2.8746952785111572
4,Gornies,6.3,1,12.2,0.62038,0.404,2.03175,18.5,0.050850819672131155,-2.9788590372048755
4,Gornies,6.3,1,11.1,0.53712,0.339,2.04151,18.5,0.04838918918918919,-3.028478854068701
4,Gornies,6.3,1,14.2,0.67623,0.422,2.22711,18.5,0.04762183098591549,-3.0444639887273737
4,Gornies,6.3,1,15.6,0.7077,0.452,2.14896,18.5,0.04536538461538461,-3.0930059181558893
4,Gornies,6.3,1,15.1,0.61327,0.377,2.14896,18.5,0.040613907284768214,-3.2036447270694297
4,Gornies,6.3,1,13.3,0.75644,0.447,2.14896,18.5,0.05687518796992481,-2.866896096750773
4,Gornies,6.3,1,12.5,0.73004,0.462,2.12943,18.5,0.0584032,-2.8403845961285725
4,Gornies,6.3,1,13.7,0.78182,0.474,2.23687,18.5,0.05706715328467153,-2.8635265767942966
4,Gornies,6.3,1,17.1,0.89757,0.474,2.50061,18.5,0.05248947368421052,-2.947142630740755
4,Gornies,6.3,1,10,0.6082,0.417,2.03175,18.5,0.06082,-2.7998365967329186
4,Gornies,6.3,1,9.9,0.58891,0.435,1.82662,18.5,0.059485858585858586,-2.8220166655046457
4,Gornies,6.3,1,11.2,0.48331,0.356,1.87546,18.5,0.04315267857142858,-3.1430107875640614
4,Gornies,6.3,1,13.1,0.68739,0.432,2.1978,18.5,0.052472519083969466,-2.947465692449882
4,Gornies,6.3,1,10.4,0.60312,0.393,2.07082,18.5,0.05799230769230769,-2.847444903226018
4,Gornies,6.3,1,15.3,0.78995,0.483,2.12943,18.5,0.05163071895424837,-2.963638455061669
4,Gornies,6.3,1,18.3,0.83259,0.411,2.63736,18.5,0.04549672131147541,-3.0901150147100656
4,Gornies,6.3,2,9.7,0.51045,0.30936,2.2871,15,0.052623711340206186,-2.9445884748764497
4,Gornies,6.3,2,10.6,0.69304,0.37044,2.50122,15,0.06538113207547169,-2.7275215625182736
4,Gornies,6.3,2,12.2,0.82654,0.44631,2.7056,15,0.06774918032786886,-2.6919429177771543
4,Gornies,6.3,2,12.3,0.67242,0.37833,2.47202,15,0.054668292682926826,-2.9064713960685173
4,Gornies,6.3,2,19.3,0.62825,0.40394,2.29684,15,0.032551813471502586,-3.4249221984692757
4,Gornies,6.3,2,10.5,0.59389,0.3665,2.29684,15,0.056560952380952385,-2.8724364191170486
4,Gornies,6.3,2,11.5,0.54088,0.33103,2.35523,15,0.04703304347826087,-3.056904871568919
